"document","topic","gamma"
637,1,0.504307464930128
638,1,0.508522371203113
639,1,0.500361998200713
640,1,0.504720960094293
641,1,0.504040503499779
642,1,0.508522371203113
643,1,0.501823172311785
644,1,0.503319638358635
645,2,0.502304322677383
646,2,0.504336473435284
647,2,0.500752304424857
648,2,0.501259830696651
649,2,0.503597924890964
650,2,0.502732823627811
651,1,0.503799711754448
652,2,0.502614282299432
653,1,0.504040503499779
654,2,0.50874551131611
655,2,0.506216903665037
656,1,0.502134812286063
657,1,0.508465186140907
658,2,0.505093534434077
659,2,0.502166739885063
660,2,0.502922364681046
661,2,0.500168416989526
662,1,0.504307464930128
663,1,0.508522371203113
664,1,0.501823172311785
665,1,0.506717203117197
666,1,0.504243136422029
667,2,0.502013222815847
668,2,0.501174187320544
669,2,0.508592669149202
671,1,0.500255345945507
672,1,0.502134892742868
673,1,0.507128561476213
674,2,0.504319299074421
675,1,0.500325543077131
676,2,0.505493068946281
677,1,0.501030949710681
678,2,0.503129230246249
679,2,0.500107213432091
680,2,0.500013477859581
681,1,0.502232288896004
682,2,0.50865001711254
684,2,0.503926885205095
685,2,0.501481080667613
686,1,0.503464061609564
687,2,0.502815158717067
688,1,0.508263103241577
689,1,0.503019075772521
690,1,0.507541790344333
691,1,0.507601852732019
693,2,0.503926885205095
694,1,0.500417203701645
695,2,0.50540939779867
696,1,0.502434587842735
697,1,0.504760378817323
698,2,0.502959207049042
699,2,0.500375109516169
700,1,0.505149762810724
701,1,0.507541790344333
702,2,0.50449884203567
703,2,0.508678353203365
704,1,0.501825644505004
705,2,0.501904677261228
706,2,0.504389737884561
707,1,0.501624074331527
708,2,0.501220280463996
709,1,0.501561177422557
710,1,0.508522371203113
711,1,0.500361998200713
712,2,0.507076306884148
713,2,0.507020020047801
714,2,0.504578849768406
715,2,0.505411083809235
716,2,0.506968115168612
717,2,0.502139097613396
718,2,0.502616672971261
719,2,0.501965386682548
720,1,0.505009426068344
721,1,0.504040503499779
722,1,0.508522371203113
723,1,0.501823172311785
724,1,0.503319638358635
725,2,0.501259830696651
726,2,0.502466631718571
727,1,0.504019419080371
728,1,0.50050148046289
729,1,0.505104558413167
730,1,0.5023340368388
731,1,0.508522371203113
732,1,0.500361998200713
733,1,0.504224220250267
734,2,0.503085600620209
735,1,0.504307464930128
736,2,0.507036626744498
737,1,0.508522371203113
738,1,0.501823172311785
739,1,0.506026155926417
740,1,0.506240456598423
741,2,0.501816078815689
742,2,0.507036626744498
743,2,0.501065678137755
